id,id,product_tag_ids,name,list_price,default_code,type,detailed_type,categ_id,categ_id/id
__export__.product_template_19662_799c8285,__export__.product_template_19662_799c8285,,"""	[RTM-CB5-6001] COROPLAST 5.0 MM ESD 140 X 244 NEGRO""",1.00,DEFAULT-3965,Producto almacenable,Producto almacenable,Todos,product.product_category_all
__export__.product_template_19515_3fcdd9cb,__export__.product_template_19515_3fcdd9cb,,.53,1.00,DEFAULT-3823,Producto almacenable,Producto almacenable,Todos,product.product_category_all
__import__.product_product_pt_0276_product_template,__import__.product_product_pt_0276_product_template,,/ CAJA INTERMEDIA CORR DOB 21X13X12IN TO,42.48,CD211312,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_20537_6750e1d1,__export__.product_template_20537_6750e1d1,,00010 VF Lower Beam WIP Racks,"1,906.41",00010 VF Lower Beam WIP Racks,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable),__export__.product_category_28_e9aa8d29
__import__.product_product_pt_0012_product_template,__import__.product_product_pt_0012_product_template,,00220 451531 FS 30 99 0000 00 000 CARTÓN,1.16,00220 451531 FS 30 99 0000 00 000 CARTÓN,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_20112_e770797a,__export__.product_template_20112_e770797a,,0057,1.00,DEFAULT-4379,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_20733_30e752e2,__export__.product_template_20733_30e752e2,,00688,1.00,DEFAULT-5261,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_20597_20af458f,__export__.product_template_20597_20af458f,,00720 239538 AS 30 99 0000 00 000 CARTÓN (EMPAQUE),57.52,00720 239538 AS 30 99 0000 00 000 CARTÓN (EMPAQUE),Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_19286_2d421ede,__export__.product_template_19286_2d421ede,,0093,1.00,DEFAULT-3602,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_19555_8f23f0ca,__export__.product_template_19555_8f23f0ca,,0116,1.00,DEFAULT-3860,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_20472_53ca9c92,__export__.product_template_20472_53ca9c92,,0308-01. PALLET-0154-02 Tesla Glove 45x48 (Recycled).,14.71,PALLET-0154-02 Tesla Glove 45x48 (Recycled).,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0056_product_template,__import__.product_product_pt_0056_product_template,,048541. IMC 120. Caja S.M.,3.84,048541 FS 30 99 0000 00 000 CARTÓN - BOX 048541 IMC 120,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_17256_56406533,__export__.product_template_17256_56406533,,048541. IMC 120. Corte.,1.00,048541 IMC 120 CORTE DE LAMINA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__export__.product_template_17254_dee10907,__export__.product_template_17254_dee10907,,048541. IMC 120. Lamina Impresa.,1.00,048541 IMC 120 LAMINA PARA FLEXO,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__export__.product_template_19867_f9e76445,__export__.product_template_19867_f9e76445,,1 Prototype boxes,"1,376.62",1 Prototype boxes,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_16599_8192ccc3,__export__.product_template_16599_8192ccc3,,1 ROLLO DE 105CM TELA NO TEJIDA,1.00,CMP-T-0148,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón),__import__.product_category_002
__export__.product_template_19401_9b6c8771,__export__.product_template_19401_9b6c8771,,1 ROLLO DE 2.10M DE TELA NO TEJIDA 30GR,0.00,CMP-3706,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón),__import__.product_category_002
__export__.product_template_15678_2b4d63dd,__export__.product_template_15678_2b4d63dd,,1 ROLLO DE 50CM TELA NO TEJIDA,1.00,CMP-T-0147,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón),__import__.product_category_002
__import__.product_product_mp_0147_product_template,__import__.product_product_mp_0147_product_template,,1 ROLLO DE 60 CM TELA NO TEJIDA,0.00,CMP-T-0078,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón),__import__.product_category_002
__export__.product_template_16603_343c87d0,__export__.product_template_16603_343c87d0,,1 ROLLO DE 61CM TELA NO TEJIDA,1.00,CMP-T-0150,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón),__import__.product_category_002
__export__.product_template_16602_c71f6415,__export__.product_template_16602_c71f6415,,1 ROLLO DE 70CM TELA NO TEJIDA,1.00,CMP-T-0149,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón),__import__.product_category_002
