name,type,detailed_type,categ_id
"""	[RTM-CB5-6001] COROPLAST 5.0 MM ESD 140 X 244 NEGRO""",Producto almacenable,Producto almacenable,Todos
0.53,Producto almacenable,Producto almacenable,Todos
/ CAJA INTERMEDIA CORR DOB 21X13X12IN TO,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
00010 VF Lower Beam WIP Racks,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
00220 451531 FS 30 99 0000 00 000 CARTÓN,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
0057,Consumible,Consumible,Todos
00688,Consumible,Consumible,Todos
00720 239538 AS 30 99 0000 00 000 CARTÓN (EMPAQUE),Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
0093,Consumible,Consumible,Todos
0116,Consumible,Consumible,Todos
0308-01. PALLET-0154-02 Tesla Glove 45x48 (Recycled).,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
048541. IMC 120. Caja S.M.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
048541. IMC 120. Corte.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
048541. IMC 120. Lamina Impresa.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
1 Prototype boxes,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
1 ROLLO DE 105CM TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 2.10M DE TELA NO TEJIDA 30GR,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 50CM TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 60 CM TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 61CM TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 70CM TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 75 CM DE TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 81 CM DE TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1 ROLLO DE 95CM TELA NO TEJIDA,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
1.3. Chattanooga. Bloqueo. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
1.3. Chattanooga. Celda. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
1.3. Chattanooga. Charola Impresa. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
1.3. Chattanooga. Charola Troquelada. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
"1035 VELCRO 1"" DUNNAGE ROPACK",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
"1100 MM VELCRO AUTO 1"" ROPACK",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
"1100 VELCRO 1"" DUNNAGE ROPACK",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
"1110 TUBO 3/4"" - DECO ASSY PASSENGER",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
"120 NYLON 1"" TAPA 2422 - LADO 22 AL DUNNAGE",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
120 NYLON TAPA -  780B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
"1278 PAD, 125C 10 3/8 X 14 5/8",Servicio,Servicio,Servicios
1282,Consumible,Consumible,Todos
