name,categ_id,type,detailed_type
,41,service,service
,15,product,product
,15,product,product
,15,product,product
,15,product,product
,33,product,product
,19,consu,consu
,19,consu,consu
,32,product,product
,25,consu,consu
,19,consu,consu
,25,consu,consu
,25,consu,consu
,32,product,product
,32,product,product
,15,product,product
,14,product,product
,1,service,service
,19,consu,consu
,18,service,service
,19,consu,consu
,19,consu,consu
,19,consu,consu
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,24,product,product
,24,product,product
,24,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,18,service,service
,18,service,service
,14,product,product
,23,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,15,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,23,consu,consu
,14,product,product
,14,product,product
,30,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,23,consu,consu
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,23,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,28,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,24,product,product
,24,product,product
,20,product,product
,24,product,product
,14,product,product
,24,product,product
,14,product,product
,14,product,product
,14,product,product
,24,product,product
,14,product,product
,24,product,product
,24,product,product
,24,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,20,product,product
,14,product,product
,14,product,product
,24,product,product
,24,product,product
,24,product,product
,24,product,product
,23,consu,consu
,14,product,product
,23,consu,consu
,14,product,product
,14,product,product
,23,consu,consu
,14,product,product
,14,product,product
,14,product,product
,30,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,24,product,product
,24,product,product
,14,product,product
,14,product,product
,14,product,product
,23,product,product
,23,product,product
,14,product,product
,23,product,product
,14,product,product
,23,product,product
,23,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,23,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,23,product,product
,23,product,product
,23,product,product
,14,product,product
,23,product,product
,23,product,product
,23,product,product
,23,product,product
,14,product,product
,23,product,product
,14,product,product
,23,product,product
,23,product,product
,30,product,product
,23,product,product
,23,product,product
,23,product,product
,18,service,service
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,18,consu,consu
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,30,product,product
,20,product,product
,20,product,product
,20,product,product
,24,product,product
,24,product,product
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,18,service,service
,18,service,service
,18,service,service
,18,service,service
,18,service,service
,18,service,service
,18,service,service
,14,product,product
,15,product,product
,15,product,product
,15,product,product
,15,product,product
,15,product,product
,15,product,product
,15,product,product
,15,product,product
,30,product,product
,27,product,product
,27,product,product
,27,product,product
,15,product,product
,27,product,product
,27,product,product
,15,product,product
,23,consu,consu
,15,product,product
,14,product,product
,23,consu,consu
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,24,product,product
,20,product,product
,20,product,product
,24,product,product
,24,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,18,service,service
,20,product,product
,20,product,product
,20,product,product
,24,product,product
,24,product,product
,24,product,product
,24,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,31,product,product
,23,consu,consu
,25,product,product
,28,product,product
,14,product,product
,28,product,product
,28,product,product
,28,product,product
,28,product,product
,28,product,product
,14,product,product
,14,product,product
,14,product,product
,28,product,product
,28,product,product
,28,product,product
,20,product,product
,20,product,product
,14,product,product
,23,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,23,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,23,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,14,product,product
,32,product,product
,14,product,product
,24,product,product
,20,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,28,product,product
,32,product,product
,14,product,product
,14,product,product
,17,consu,consu
,25,consu,consu
,17,consu,consu
,19,consu,consu
,17,consu,consu
,17,consu,consu
,14,product,product
,28,product,product
,17,product,product
,18,service,service
,20,product,product
,30,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,17,consu,consu
,25,consu,consu
,17,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,17,consu,consu
,17,consu,consu
,17,consu,consu
,28,product,product
,30,product,product
,30,product,product
,30,product,product
,30,product,product
,30,product,product
,30,product,product
,20,product,product
,20,product,product
,30,product,product
,30,product,product
,30,product,product
,30,product,product
,17,product,product
,27,product,product
,28,product,product
,25,consu,consu
,25,consu,consu
,18,service,service
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,25,service,service
,25,product,product
,28,product,product
,14,product,product
,30,product,product
,30,product,product
,30,product,product
,30,product,product
,20,product,product
,20,product,product
,30,product,product
,30,product,product
,30,product,product
,30,product,product
,20,product,product
,30,product,product
,30,product,product
,30,product,product
,18,service,service
,18,service,service
,19,consu,consu
,19,consu,consu
,19,consu,consu
,17,consu,consu
,19,consu,consu
,25,consu,consu
,27,product,product
,14,product,product
,14,product,product
,18,consu,consu
,18,consu,consu
,18,consu,consu
,19,consu,consu
,27,product,product
,14,product,product
,18,service,service
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,14,product,product
,14,product,product
,20,product,product
,28,product,product
,18,service,service
,18,service,service
,18,service,service
,27,product,product
,25,consu,consu
,27,product,product
,15,product,product
,18,service,service
,18,service,service
,20,product,product
,20,product,product
,20,product,product
,27,product,product
,14,product,product
,18,service,service
,18,consu,consu
,27,product,product
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,19,consu,consu
,27,product,product
,18,service,service
,25,consu,consu
,19,consu,consu
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,27,product,product
,27,product,product
,27,product,product
,28,product,product
,28,product,product
,28,product,product
,28,product,product
,18,service,service
,25,consu,consu
,27,product,product
,27,product,product
,27,product,product
,27,product,product
,27,product,product
,27,product,product
,27,product,product
,27,product,product
,25,consu,consu
,25,consu,consu
,18,service,service
,1,product,product
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,18,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,28,product,product
,28,product,product
,28,product,product
,1,service,service
,1,service,service
,1,service,service
,28,product,product
,1,service,service
,18,service,service
,1,service,service
,28,product,product
,1,service,service
,1,service,service
,1,service,service
,28,product,product
,28,product,product
,1,service,service
,14,product,product
,1,service,service
,1,service,service
,1,service,service
,18,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,1,service,service
,28,product,product
,1,service,service
,24,product,product
,27,product,product
,27,product,product
,15,product,product
,23,consu,consu
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,18,service,service
,24,product,product
,23,consu,consu
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
,28,product,product
,14,product,product
,28,product,product
,23,consu,consu
,14,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,23,product,product
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,20,product,product
,14,product,product
,20,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,23,consu,consu
,14,product,product
,14,product,product
,20,product,product
,20,product,product
,14,product,product
,14,product,product
,14,product,product
