name,categ_id,type,detailed_type
Free delivery charges,41,service,service
TAPA GENERAL NEXTRACKER ALTERNO,15,product,product
ANCHO DE MAQUINA 90 AAC TRIPLE ​,15,product,product
ANCHO DE MAQUINA 55 ECT SENCILLO,15,product,product
CHAROLA H STICK ALTERNO,15,product,product
"TAPA PLASTICA 48"" X 45""",33,product,product
FORMIFLEX IC-CONDUCTIVE 150 LV,19,consu,consu
"CINTA DELIMITADORA 2""",19,consu,consu
XLPE 4# BARRA SUDAFRICA,32,product,product
COLOR CAR REMOV. ESPECIAL DE PINT 8350,25,consu,consu
ETIQUETA ESD VARROC,19,consu,consu
ESMALTE AMARILLO CANARIO  DOAL,25,consu,consu
ESMALTE BLANCO MATE DOAL,25,consu,consu
BOLSA  FLOOR CONSOLE,32,product,product
BOLSA DOOR CONSOLE,32,product,product
POLIFOAM DE 1/4 - PISO 22 X 24,15,product,product
CELDA 20X,14,product,product
Service on Timesheet,1,service,service
"NAVAJA 6""",19,consu,consu
SERVICIO LOGISTICO,18,service,service
GRAPA BURBUJA FIFA 58-PFC,19,consu,consu
NEGRO GCMI-34,19,consu,consu
CINTA DE PAPEL,19,consu,consu
223462 CHAROLA GM177,14,product,product
CELDA LINNER,14,product,product
ESQUINERO,14,product,product
PAD.21.5X18.5X.020 CHIP,14,product,product
252422 CAJA CHICA INTER,14,product,product
341332 CELDA - U611 & U625,24,product,product
341332 CHAROLA - U611 & U625,24,product,product
341332 DIVISOR - U611 & U625,24,product,product
357790-CAJA,14,product,product
357790-TAPA,14,product,product
358268-CAJA,14,product,product
358268-TAPA,14,product,product
BX.10X10.5X5 DIECUT,14,product,product
CAJA OUTER TESLA,14,product,product
REJILLA OUTER TESLA,14,product,product
TAPA OUTER TESLA,14,product,product
444816 CHAROLA AUDI Q5,14,product,product
TOLLING CELDA BEZEL G07,18,service,service
"TOOLING TOYOTA COVER 370B, 241B",18,service,service
928069 CHAROLA CHATTANOOGA,14,product,product
PALLET BOX 560249 BMW,23,product,product
BOX 051660 SUNRISE MEDICAL - CAJA HSC,14,product,product
BOX 12*15*07 ALTERNATE FCA - CAJA,14,product,product
BOX 12*15*07 ALTERNATE FCA - TAPA,14,product,product
BOX 143907,14,product,product
TELA NO TEJIDA 50GRS,15,product,product
BOX 2066WT,14,product,product
BOX 3899VH ,14,product,product
BOX 3905VU,14,product,product
"938591   SIZE 16""",14,product,product
"938830 SIZE 24""               ",14,product,product
BOX 5506KR,14,product,product
BOX 755266 MOPAR,14,product,product
BSM OUTER CELDA 10X,23,consu,consu
CAJA 310 VARROC,14,product,product
CAJA 380,14,product,product
"VELCRO AUTO 1"" PARA DUNNAGE 2415",30,product,product
CAJA 396 VARROC,14,product,product
CAJA 397 VARROC,14,product,product
CAJA 695,14,product,product
CAJA 726 VARROC,14,product,product
CAJA 727 VARROC,14,product,product
CAJA 746,14,product,product
CAJA 747,14,product,product
Y0093053 CAJA 760,14,product,product
CAJA 763,14,product,product
CAJA 764,14,product,product
CAJA 768,14,product,product
CAJA 784,14,product,product
CAJA 808 VARROC,14,product,product
CAJA 808 30 CAV,14,product,product
CAJA 809 VARROC,14,product,product
CAJA 810 VARROC,14,product,product
Y0093065,14,product,product
Y0093065/ G906510 EXPENDABLE 989,14,product,product
Y0032851,14,product,product
Y0093051/ G906510 EXPENDABLE CAJA HSG W166,14,product,product
Y101388 CAJA K2XL,14,product,product
CAR818060 ROCKER INDIVIDUAL SERVICIO,23,consu,consu
Y0093070/CAJA MOLDE (48x15x07),14,product,product
Y0093053 CAJA POR 440 OHC,14,product,product
CAJA RSC SHOCK TOWER,14,product,product
Y0093058 CAJA TUNDRA,14,product,product
CAJA VENTILAS Y0032852,14,product,product
CAR818057,23,product,product
CAR818057-CA,14,product,product
CAR818057-CE,14,product,product
CAR818057-TA,14,product,product
CAR818059-CA,14,product,product
CAR818059-CE,14,product,product
CAR818059-TA,14,product,product
CAR818060,14,product,product
/ CAJA INTERMEDIA CORR DOB 21X13X12IN TO,14,product,product
CELDA 310 VARROC,14,product,product
CELDA 380,14,product,product
CELDA 396 VARROC,14,product,product
CELDA 397 VARROC,14,product,product
CELDA 726 VARROC,14,product,product
CELDA 727 VARROC,14,product,product
CELDA 746,14,product,product
DUNNAGE ENDCAP,28,product,product
CELDA 747,14,product,product
CELDA 763,14,product,product
CELDA 764,14,product,product
CELDA 768,14,product,product
CELDA 808 VARROC,14,product,product
CELDA 809 VARROC,14,product,product
CELDA 810 VARROC,14,product,product
CELDA 955061,24,product,product
CELDA AUDI Q5,24,product,product
CELDA B 396,20,product,product
CELDA GM177,24,product,product
G906510 EXPENDABLE CELDA 11X C,14,product,product
CELDA VW CHATTANOOGA,24,product,product
Y0093060 CELDA MAP POCKET FRONT  ,14,product,product
Y0093069/ DS-MAP POCKET REAR CELDA,14,product,product
Y0093076-MAP POCKET UPPER CELDA,14,product,product
Charola 955061,24,product,product
CHAROLA ARMADA 784,14,product,product
CHAROLA AUDI Q5,24,product,product
CHAROLA GM177,24,product,product
CHAROLA VW CHATTANOOGA,24,product,product
CHRYSLER INSERT DJ PART 694087,14,product,product
CELDA A 536,20,product,product
CELDA A 558,20,product,product
CELDA A 589,20,product,product
CELDA A 615,20,product,product
CELDA A 675,20,product,product
CELDA A 694,20,product,product
CELDA A 696,20,product,product
CELDA A 706,20,product,product
CELDA A 735,20,product,product
CELDA B 536,20,product,product
CELDA B 558,20,product,product
CELDA B 589,20,product,product
CELDA B 615,20,product,product
CELDA B 675,20,product,product
CELDA B 694,20,product,product
CELDA B 696,20,product,product
CELDA B 706,20,product,product
CELDA B 735,20,product,product
CELDA C 536,20,product,product
AS PAD ( CELDA ) TAPA,14,product,product
CELDA C 615,14,product,product
CELDA C 706,20,product,product
Y0102008 CUADRADO DE BLOQUEO K2XL   ,14,product,product
CUELLO SHOCK TOWER,14,product,product
DIVISOR AUDI Q5,24,product,product
DIVISOR CON DOBLEZ VW CHATTANOOGA,24,product,product
DIVISOR GM177,24,product,product
DIVISOR ZIGZAG VW CHATTANOOGA,24,product,product
EMPAQUE KIT PARA ROLLOS DE VINIL CERVECE,23,consu,consu
ESQUINERO 747,14,product,product
GSH001,23,consu,consu
GSH001-CA,14,product,product
GSH001-TA,14,product,product
GSH002,23,consu,consu
GSH002-CA,14,product,product
GSH002-CE,14,product,product
GSH002-TA,14,product,product
PIEZA A DUNNAGE ENDCAP,30,product,product
INSERT 642762 ,14,product,product
INSERT 734453 MOPAR,14,product,product
INSERT 755027 MOPAR,14,product,product
INSERT FORD DAMPER ,14,product,product
NEW NEXTRACKER BOX-CELDA,14,product,product
NEW NEXTRACKER BOX-CHAROLA,24,product,product
NEW NEXTRACKER BOX-TAPA,24,product,product
